resource_id,X,Y,norm_X,norm_Y
Notes_MAS.pdf,441.3008846,139.0104065,29.42882255,1.850661804
Notes_Social Learning in Networks - L2.pdf,417.5261788,497.6375732,26.06992371,8.553973332
Social Economic Networks_SEN4.pdf,415.0763394,184.5855713,25.72380953,2.702534043
Notes_Social Learning in Networks - L1.pdf,417.5267875,385.1740723,26.07000972,6.451851818
Social Economic Networks_SEN7.pdf,415.391632,189.5157623,25.76835418,2.794687146
Networks Crowd and Markets_NCMch20.pdf,415.6996837,209.6546783,25.81187584,3.171115483
Networks Crowd and Markets_NCMch12.pdf,416.5502286,201.4057465,25.93204113,3.01692984
Networks Crowd and Markets_NCMch22.pdf,416.5588597,188.9060974,25.93326053,2.78329154
Networks Crowd and Markets_NCMch5.pdf,417.8193604,129.6752014,26.11134452,1.676171989
Networks Crowd and Markets_NCMch11.pdf,418.5144615,198.7521057,26.20954865,2.967329079
Networks Crowd and Markets_NCMch9.pdf,419.1224307,237.7726288,26.29544275,3.69668465
Networks Crowd and Markets_NCMch10.pdf,419.6425215,114.259079,26.36892137,1.388020168
Rational Herds_RHEMch14.pdf,420.7995766,288.5144958,26.53239052,4.645130764
Rational Herds_RHEMch8.pdf,421.2629872,248.9375153,26.59786133,3.905374117
Social Economic Networks_SEN8.pdf,424.1180817,197.9487915,27.00123008,2.95231386
Network Analysis_LNch13.pdf,447.2041281,257.7296753,30.26283488,4.069713557
Social Economic Networks_SEN2.pdf,447.1825207,286.9760132,30.25978218,4.616374078
Network Analysis_LNch5.pdf,447.1237911,185.4908752,30.25148483,2.719455612
Notes_CGT BASED network CENTRALITY - L2.pdf,447.1040053,574.7796021,30.24868949,9.995880412
Network Analysis_LNch9.pdf,446.9475089,48.13669586,30.22657962,0.1520877731
Notes_Mandate - 1_ Network Science for the Web (1).pdf,446.8989643,305.3006592,30.21972122,4.958890826
Network Analysis_LNch3.pdf,446.8919344,161.4899597,30.21872804,2.270840369
Network Analysis_LNch11.pdf,446.8652198,260.2998962,30.21495379,4.11775507
Notes_Allocation with CGT -L1.pdf,446.8322912,551.2133789,30.21030163,9.55539026
Network Analysis_LNch14.pdf,446.7622441,202.0646667,30.20040534,3.029246107
Network Analysis_LNch7.pdf,446.6920879,158.2378235,30.19049365,2.210052775
Network Analysis_LNch2.pdf,446.669141,401.2356567,30.1872517,6.75206835
Network Analysis_LNch4.pdf,446.6083621,206.5456085,30.17866484,3.113002028
Networks Crowd and Markets_NCMch7.pdf,446.5535336,258.8022156,30.17091865,4.089761039
Networks Crowd and Markets_NCMch4.pdf,439.1488373,174.218689,29.12478054,2.508760541
Rational Herds_RHEMch9.pdf,439.1904998,368.4856567,29.13066664,6.139918818
Networks Crowd and Markets_NCMch23.pdf,414.0489986,95.0932312,25.57866647,1.029780022
Rational Herds_RHEMch1.pdf,439.2060067,309.7463379,29.13285745,5.041987624
Rational Herds_RHEMch12.pdf,439.2972281,305.4956665,29.14574525,4.962535823
Networks Crowd and Markets_NCMch24.pdf,427.5474323,257.0597839,27.48572995,4.057192223
Rational Herds_RHEMch13.pdf,439.3471939,226.7115021,29.15280443,3.489934618
Rational Herds_RHEMch2.pdf,439.3618994,275.2880859,29.15488204,4.397908148
Networks Crowd and Markets_NCMch21.pdf,424.286441,230.1463165,27.02501594,3.554136758
Rational Herds_RHEMch7.pdf,439.3743872,253.4683838,29.15664631,3.990063248
Social Economic Networks_SEN6.pdf,438.0360053,164.9515991,28.96755925,2.335543909
Rational Herds_RHEMch5.pdf,439.4231798,283.7559814,29.16353975,4.556186569
Rational Herds_RHEMch3.pdf,439.4498588,369.7625427,29.16730897,6.163785845
Rational Herds_RHEMch6.pdf,439.4495727,176.6083679,29.16726855,2.553427438
Networks Crowd and Markets_NCMch3.pdf,438.5623556,98.88213348,29.04192221,1.100600626
Rational Herds_RHEMch15.pdf,439.4873755,158.8552704,29.17260935,2.221593839
Networks Crowd and Markets_NCMch17.pdf,425.5416892,208.8280334,27.20235786,3.155664177
Rational Herds_RHEMch4.pdf,439.5000821,226.9206543,29.17440453,3.493844006
Networks Crowd and Markets_NCMch8.pdf,439.5345918,193.0149536,29.17928008,2.860092591
Networks Crowd and Markets_NCMch15.pdf,439.6884125,40.39003372,29.20101193,0.007290349943
Social Economic Networks_SEN1.pdf,439.4014884,395.3992004,29.16047518,6.642975709
Social Economic Networks_SEN3.pdf,456.7589286,212.9731293,31.61274047,3.233142603
Notes_Allocation in networks with DON-L3.pdf,443.3770637,554.7166138,29.72214586,9.620871285
Notes_Mandate - 2_ Structural Anlaysis and Game Theory.pdf,443.5119455,384.3970337,29.74120202,6.437327733
Notes_mandate-3_2.0.pdf,435.9964425,387.819458,28.6794091,6.501298281
Networks Crowd and Markets_NCMch14.pdf,444.5722727,148.9237671,29.89100541,2.035958263
Networks Crowd and Markets_NCMch19.pdf,433.4918478,123.8890533,28.32555908,1.568019689
